City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
397,Cumana,VE,80.69,broken clouds,10.4635,-64.1775,Posada Acuarela Los Roques
398,Danao,PH,80.65,overcast clouds,10.5208,124.0272,Danao Coco Palms Resort
399,Sao Sebastiao,BR,75.33,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
409,Marsh Harbour,BS,76.14,clear sky,26.5412,-77.0636,Abaco Beach Resort
410,Bourail,NC,77.18,moderate rain,-21.5667,165.4833,Motel Allamanda
412,Inhambane,MZ,78.04,scattered clouds,-23.865,35.3833,Oceano
414,Dingle,PH,76.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
421,La Asuncion,VE,80.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
430,Mayumba,GA,77.41,overcast clouds,-3.432,10.6554,LIKWALE LODGE
434,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
436,Culebra,PR,80.69,clear sky,18.303,-65.301,Palmetto Guesthouse
441,Koutiala,ML,80.38,clear sky,12.3917,-5.4642,Hotel La Chaumiere
442,Tual,ID,83.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
444,Bucerias,MX,82.38,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
450,Caravelas,BR,76.62,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
454,Isangel,VU,84.31,overcast clouds,-19.55,169.2667,Tanna Lodge
455,Phuket,TH,77.22,few clouds,8.0,98.25,The Surin
456,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
459,Kokopo,PG,83.89,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
466,Panguna,PG,79.5,light rain,-6.3164,155.4848,
468,Pemangkat,ID,78.82,overcast clouds,1.1667,108.9667,Ramah Kost KITA
475,Biltine,TD,75.87,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
482,Kita,ML,77.47,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
484,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
486,Meulaboh,ID,75.74,broken clouds,4.1363,96.1285,Kost Pria
489,Sapa,PH,81.01,overcast clouds,5.1544,120.3241,
491,Port Augusta,AU,76.71,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
495,Basco,PH,75.16,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
497,Saint-Pierre,RE,76.64,few clouds,-21.3393,55.4781,Lindsey Hôtel
501,Thinadhoo,MV,81.28,overcast clouds,0.5333,72.9333,
504,Mandiana,GN,77.83,clear sky,10.6333,-8.6833,Motels rouzo
506,Salinopolis,BR,81.18,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
524,Aquidauana,BR,75.29,moderate rain,-20.4711,-55.7872,HOTEL ARARAS
534,Port Moresby,PG,80.02,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
537,La Romana,DO,80.96,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
538,Pedernales,DO,79.66,clear sky,18.0384,-71.744,Hotel Costa Marina
541,Wamba,NG,76.19,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
544,Akropong,GH,79.75,scattered clouds,5.9746,-0.0854,Vip Lodge
547,Edd,ER,77.86,clear sky,13.9297,41.6925,
550,Kilindoni,TZ,80.2,light rain,-7.9139,39.6668,Bustani B&B
552,Cucuta,CO,82.35,scattered clouds,7.8833,-72.5053,Hotel Casino Internacional
557,Sorong,ID,80.82,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
563,Gorontalo,ID,78.1,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
565,Garissa,KE,76.68,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
567,Kieta,PG,84.36,light rain,-6.2167,155.6333,Uruna Bay Retreat
569,Gondanglegi,ID,76.98,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
570,Ambulu,ID,78.22,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
573,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
579,Abonnema,NG,80.29,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
584,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
585,Paciran,ID,78.64,moderate rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
590,Batemans Bay,AU,83.19,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
591,Nsanje,MW,78.51,clear sky,-16.92,35.262,Nsanje Discovery Lodge
602,Coruripe,BR,79.65,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
613,Dhidhdhoo,MV,80.94,overcast clouds,6.8833,73.1,Dhidhoo beach
614,Baracoa,CU,77.58,clear sky,20.3467,-74.4958,Hostal Rio Miel
617,Beloha,MG,78.42,scattered clouds,-25.1667,45.05,
621,Sao Filipe,CV,75.11,broken clouds,14.8961,-24.4956,Hotel Xaguate
628,El Grullo,MX,84.72,clear sky,19.8,-104.2167,Hotel Del Camino Real
634,Melipilla,CL,79.21,clear sky,-33.7,-71.2167,Hotel Los Troncos
641,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
643,Martapura,ID,77.09,light rain,-3.4167,114.85,Montana Hotel Syariah
644,Hatillo,PR,81.09,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
646,Natal,BR,83.05,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
647,Kupang,ID,75.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
648,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
649,Manaure,CO,82.51,broken clouds,11.7751,-72.4445,Hotel Palaaima
651,Belmonte,BR,79.3,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
655,Santa Rosa,PH,77.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
660,Sao Jose Da Coroa Grande,BR,79.61,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
