City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Praia,14.9215,-23.5087,72.14,83,99,14.97,overcast clouds
86,Saint-Raymond,45.467,-73.6095,42.4,70,20,5.75,few clouds
87,Raton,36.9034,-104.4391,39.18,20,1,6.91,clear sky
88,Saldanha,-33.0117,17.9442,66.25,87,27,15.57,scattered clouds
89,Yabrud,33.9674,36.6574,37.06,41,100,5.01,overcast clouds
90,Capao Bonito,-24.0058,-48.3494,65.16,79,100,2.21,overcast clouds
91,Nikolskoye,59.7035,30.7861,26.8,99,100,3.76,light snow
92,Codrington,-38.2667,141.9667,61.83,70,100,14.18,light rain
93,Saint-Joseph,-21.3667,55.6167,84.56,63,1,13.44,clear sky
94,Hambantota,6.1241,81.1185,77.34,100,75,9.22,broken clouds
95,Beipiao,41.7919,120.7792,31.95,22,0,10.74,clear sky
96,Jalu,29.0331,21.5482,55.33,70,15,5.17,few clouds
97,Georgiyevka,43.0369,74.7114,39.24,75,93,2.24,overcast clouds
98,Hohhot,40.8106,111.6522,25.09,42,0,4.47,clear sky
99,Yartsevo,55.0667,32.6964,31.17,99,100,3.53,light snow
100,Ampanihy,-24.7,44.75,95.74,21,0,8.95,clear sky
101,Hithadhoo,-0.6,73.0833,82.11,73,98,8.34,overcast clouds
102,Coquimbo,-29.9533,-71.3436,58.73,82,0,3.44,clear sky
103,Moyale,3.5167,39.0584,75.51,57,11,11.01,few clouds
104,Sitka,57.0531,-135.33,33.69,55,40,4.61,scattered clouds
105,Sheksna,59.21,38.5107,21.16,96,100,11.52,light snow
106,Lugovoy,42.9472,72.7644,41.72,67,91,6.6,overcast clouds
107,Marzuq,14.4,46.4667,63.07,43,0,7.25,clear sky
108,Urucara,-2.5364,-57.76,73.8,98,100,1.63,overcast clouds
109,Saint George,37.1041,-113.5841,40.78,56,1,1.99,clear sky
110,Hay River,60.8156,-115.7999,-4.02,77,75,9.22,broken clouds
111,Ninghai,29.2892,121.4247,58.73,55,31,6.24,scattered clouds
112,Cururupu,-1.8283,-44.8683,77.7,85,93,4.25,overcast clouds
113,Port Elizabeth,-33.918,25.5701,73.69,83,75,10.36,light rain
114,Santa Cruz,-17.8,-63.1667,74.66,100,90,16.11,overcast clouds
115,Ust-Kuyga,70.0167,135.6,-37.93,100,100,2.55,overcast clouds
116,Aykhal,66.0,111.5,-49.59,99,64,5.82,broken clouds
117,Souillac,-20.5167,57.5167,83.35,69,75,11.5,broken clouds
118,Jinchang,38.4953,102.1739,32.83,25,0,6.53,clear sky
119,Merrill,45.1805,-89.6835,33.98,64,1,8.05,clear sky
120,Sipkovica,42.035,20.9156,25.43,83,78,3.85,broken clouds
121,Tazovskiy,67.4667,78.7,-31.13,97,24,4.41,few clouds
122,Tornio,65.8481,24.1466,32.02,95,100,6.04,overcast clouds
123,Quime,-16.9833,-67.2167,51.42,69,81,2.98,broken clouds
124,Mackay,-21.15,149.2,86.04,58,0,17.27,clear sky
125,Suez,29.9737,32.5263,67.1,56,100,10.38,overcast clouds
126,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,40,17.27,scattered clouds
127,Vaini,-21.2,-175.2,78.96,89,20,6.91,few clouds
128,Mitchell,43.7094,-98.0298,33.78,74,1,5.01,clear sky
129,Korla,41.7597,86.1469,28.85,49,8,5.64,clear sky
130,Ancud,-41.8697,-73.8203,49.42,81,100,4.21,overcast clouds
131,Kolda,12.8833,-14.95,70.11,88,0,0.0,clear sky
132,Itabera,-23.8619,-49.1372,65.93,78,100,6.78,overcast clouds
133,Sembabule,-0.0772,31.4567,75.52,56,77,4.74,broken clouds
134,Kahului,20.8947,-156.47,73.42,93,40,16.11,light rain
135,Padang,-0.9492,100.3543,87.85,85,100,4.07,overcast clouds
136,Sibu,2.3,111.8167,89.91,66,40,8.05,scattered clouds
137,Alice Springs,-23.7,133.8833,96.35,11,11,5.75,few clouds
138,Mehran,33.1222,46.1646,65.68,20,67,1.59,broken clouds
139,Tautira,-17.7333,-149.15,80.62,76,34,12.3,light rain
140,Luanda,-8.8368,13.2343,75.2,94,75,9.22,moderate rain
141,San Vicente,-26.6167,-54.1333,69.04,65,100,1.77,overcast clouds
142,Namatanai,-3.6667,152.4333,84.65,74,100,5.48,light rain
143,Ilulissat,69.2167,-51.1,10.42,72,97,2.3,overcast clouds
144,Keti Bandar,24.1447,67.4497,77.09,17,0,6.15,clear sky
145,Lagoa,39.05,-27.9833,58.08,54,100,12.97,overcast clouds
146,Tibiri,13.5627,7.0485,64.74,20,0,11.5,clear sky
147,Nantucket,41.2835,-70.0995,45.97,65,0,22.57,clear sky
148,Kaitangata,-46.2817,169.8464,57.36,78,1,6.85,clear sky
149,Masaka,-0.3338,31.7341,73.35,67,100,5.68,overcast clouds
150,At-Bashi,41.1702,75.8106,18.61,61,100,1.23,overcast clouds
151,Los Llanos De Aridane,28.6585,-17.9182,60.55,82,75,5.01,broken clouds
152,Male,4.1748,73.5089,85.95,74,75,9.22,broken clouds
153,Lebu,-37.6167,-73.65,48.92,89,27,7.02,scattered clouds
154,Naze,28.3667,129.4833,59.92,65,100,16.49,overcast clouds
155,Narsaq,60.9167,-46.05,19.62,80,100,6.02,overcast clouds
156,Broome,42.2506,-75.833,38.62,62,1,3.0,clear sky
157,Chokurdakh,70.6333,147.9167,-34.74,97,100,3.4,overcast clouds
158,Stabat,3.761,98.4513,86.2,57,57,7.14,broken clouds
159,Barrow,71.2906,-156.7887,-14.78,70,1,11.5,clear sky
160,Esperance,-33.8667,121.9,67.84,52,100,15.79,overcast clouds
161,Bambous Virieux,-20.3428,57.7575,83.21,69,75,11.5,light rain
162,Tasiilaq,65.6145,-37.6368,32.16,85,100,4.9,overcast clouds
163,Krasnoselkup,65.7,82.4667,-32.82,93,17,5.61,few clouds
164,Hvide Sande,56.0045,8.1294,48.49,100,75,8.05,light intensity drizzle
165,Vestmannaeyjar,63.4427,-20.2734,42.93,79,100,14.92,overcast clouds
166,Zhicheng,30.2956,111.5047,57.69,44,9,8.95,clear sky
167,Usmajac,19.8667,-103.5667,58.93,73,4,0.76,clear sky
168,Pangnirtung,66.1451,-65.7125,-3.37,72,100,6.76,overcast clouds
169,Atar,20.5169,-13.0499,67.26,17,100,7.58,overcast clouds
170,Kavieng,-2.5744,150.7967,83.82,75,36,8.32,scattered clouds
171,Aklavik,68.2191,-135.0107,-4.97,87,100,19.44,overcast clouds
172,Kununurra,-15.7667,128.7333,107.58,19,9,9.22,clear sky
173,Atuona,-9.8,-139.0333,78.94,79,26,19.46,scattered clouds
174,Torva,58.0028,25.935,33.82,94,100,3.27,overcast clouds
175,Ponta Do Sol,32.6667,-17.1,63.72,79,35,2.82,scattered clouds
176,Villazon,-22.0866,-65.5942,52.93,44,67,2.53,broken clouds
177,Portland,45.5234,-122.6762,42.78,94,90,1.01,overcast clouds
178,Mahebourg,-20.4081,57.7,83.25,69,75,11.5,light rain
179,Cabo San Lucas,22.8909,-109.9124,71.51,78,58,6.17,broken clouds
180,Shemysheyka,52.892,45.3928,19.62,67,100,10.96,overcast clouds
181,Santo Antonio Do Ica,-3.1022,-67.9397,73.06,99,95,2.59,moderate rain
182,Parati,-23.2178,-44.7131,73.29,90,100,4.23,overcast clouds
183,Tonantins,-2.8731,-67.8022,72.84,99,97,2.55,light rain
184,Pestravka,52.405,49.9583,17.17,80,5,5.57,clear sky
185,Sinnamary,5.3833,-52.95,77.38,88,96,9.55,light rain
186,Sao Filipe,14.8961,-24.4956,74.34,74,100,7.99,overcast clouds
187,Yar-Sale,66.8333,70.8333,-17.16,99,85,3.02,overcast clouds
188,Rabaul,-4.1967,152.1721,83.01,79,42,9.89,moderate rain
189,Marsh Harbour,26.5412,-77.0636,75.9,75,6,11.92,clear sky
190,Orlik,52.5178,99.825,13.06,81,93,6.02,overcast clouds
191,Viedma,-40.8135,-62.9967,58.98,55,6,7.85,clear sky
192,Salalah,17.0151,54.0924,77.09,36,0,16.11,clear sky
193,Santa Vitoria Do Palmar,-33.5189,-53.3681,67.86,81,94,6.73,overcast clouds
194,Vung Tau,10.346,107.0843,80.19,74,100,4.94,overcast clouds
195,Pisco,-13.7,-76.2167,64.45,88,0,5.75,clear sky
196,Dikson,73.5069,80.5464,-11.52,98,100,20.09,overcast clouds
